PRE,,,,,,,,,POST,,,,,,Difference,,
Question,In-Person,Online,,,,,,,Question,In-Person,Online,,,,Question,In-Person,Online
Flora/Fauna,3.301886792,3.15625,,,,,,,Flora/Fauna,4.025,4.142857143,,,,Flora/Fauna,0.723113208,0.986607143
Experimental Design,3.117424242,3.25,,,,,,,Experimental Design,3.8875,4.428571429,,,,Experimental Design,0.770075758,1.178571429
Oral Presentation,3.464150943,3.46875,,,,,,,Oral Presentation,3.9875,3.714285714,,,,Oral Presentation,0.523349057,0.245535714
Field Research,2.490566038,3.0625,,,,,,,Field Research,4.0375,4.428571429,,,,Field Research,1.546933962,1.366071429
Science Career,4.505660377,4.59375,,,,,,,Science Career,4.55,4.285714286,,,,Science Career,0.044339623,-0.308035714
Graduate Degree,4.161538462,4.09375,,,,,,,Graduate Degree,3.9875,4.428571429,,,,Graduate Degree,-0.174038462,0.334821429
Research Opportunities,3.160305344,3.4375,,,,,,,Research Opportunities,4.215189873,4.285714286,,,,Research Opportunities,1.05488453,0.848214286
UCSC Community,3.471264368,3.71875,,,,,,,UCSC Community,4.125,3.714285714,,,,UCSC Community,0.653735632,-0.004464286
Enjoyed High School,4.265151515,4.15625,,,,,,,Sense of Belonging,3.684210526,3.5,,,,,,
,,,,,,,,,Science Identity,3.75,3.833333333,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
